state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_minutes_dom,total_calls_dom,total_charge_dom,total_minutes,total_calls,total_charge,charge_per_min_dom,charge_per_min_int,%_int_min,call_satisfaction,region
KS,128,415,no,yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0,707.2,300,137.79,717.2,303,140.48999999999998,0.4593,0.9,0.013943112102621304,0.0033003300330033004,Midwest
OH,107,415,no,yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,611.5,329,151.07,625.2,332,154.76999999999998,0.45917933130699085,1.2333333333333334,0.021912987843889953,0.0030120481927710845,Midwest
NJ,137,415,no,no,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,527.2,328,131.62,539.4000000000001,333,134.91,0.40128048780487807,0.658,0.022617723396366328,0.0,Northeast
OH,84,408,yes,no,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,558.1999999999999,248,85.12,564.8,255,86.9,0.34322580645161294,0.2542857142857143,0.011685552407932011,0.00784313725490196,Midwest
OK,75,415,yes,no,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,501.9,356,134.02,512.0,359,136.75,0.3764606741573034,0.91,0.0197265625,0.008356545961002786,South
AL,118,510,yes,no,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,647.9,317,125.93,654.1999999999999,323,127.63000000000001,0.3972555205047319,0.2833333333333333,0.00963008254356466,0.0,South
MA,121,510,no,yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,779.3000000000001,314,127.19,786.8000000000001,321,129.22,0.40506369426751593,0.29,0.009532282663955262,0.009345794392523364,Northeast
MO,147,415,yes,no,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,471.90000000000003,269,97.29,479.00000000000006,275,99.21000000000001,0.36167286245353164,0.32,0.014822546972860123,0.0,Midwest
LA,117,408,no,no,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,0,751.9000000000001,267,136.6,760.6000000000001,271,138.95,0.5116104868913858,0.5875,0.011438338154088875,0.0036900369003690036,South
WV,141,415,yes,yes,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,807.0,292,117.56,818.2,297,120.58,0.4026027397260274,0.604,0.013688584698117817,0.0,South
