state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_minutes_dom,total_calls_dom,total_charge_dom,total_minutes,total_calls,total_charge,charge_per_min_day,charge_per_min_eve,charge_per_min_night,charge_per_min_dom,charge_per_min_int,%_int_min,call_satisfaction,region
KS,128,415,no,yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0,707.2,300,72.86,717.2,303,75.56,0.4097272727272727,0.1694949494949495,0.12098901098901099,0.24286666666666668,0.9,1.3943112102621305,0.33003300330033003,Midwest
OH,107,415,no,yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,611.5,329,55.540000000000006,625.2,332,59.24000000000001,0.22333333333333333,0.16135922330097088,0.11116504854368932,0.16881458966565352,1.2333333333333334,2.1912987843889953,0.30120481927710846,Midwest
NJ,137,415,no,no,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,527.2,328,59.00000000000001,539.4000000000001,333,62.290000000000006,0.3629824561403509,0.09363636363636364,0.07038461538461539,0.17987804878048783,0.658,2.2617723396366327,0.0,Northeast
OH,84,408,yes,no,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,558.1999999999999,248,65.02,564.8,255,66.8,0.7169014084507042,0.05977272727272727,0.0995505617977528,0.2621774193548387,0.2542857142857143,1.1685552407932012,0.7843137254901961,Midwest
OK,75,415,yes,no,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,501.9,356,49.36,512.0,359,52.089999999999996,0.25079646017699114,0.1033606557377049,0.06950413223140496,0.13865168539325842,0.91,1.97265625,0.8356545961002786,South
AL,118,510,yes,no,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,647.9,317,65.91,654.1999999999999,323,67.61,0.38755102040816325,0.18564356435643564,0.07779661016949152,0.20791798107255519,0.2833333333333333,0.963008254356466,0.0,South
MA,121,510,no,yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,779.3000000000001,314,76.28,786.8000000000001,321,78.31,0.42147727272727276,0.27425925925925926,0.08110169491525424,0.24292993630573248,0.29,0.9532282663955262,0.9345794392523363,Northeast
MO,147,415,yes,no,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,471.90000000000003,269,44.980000000000004,479.00000000000006,275,46.900000000000006,0.3378481012658228,0.09319148936170213,0.09927083333333332,0.16721189591078067,0.32,1.4822546972860122,0.0,Midwest
LA,117,408,no,no,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,0,751.9000000000001,267,70.97,760.6000000000001,271,73.32,0.3234020618556701,0.373625,0.1078888888888889,0.2658052434456929,0.5875,1.1438338154088874,0.36900369003690037,South
WV,141,415,yes,yes,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,807.0,292,77.52,818.2,297,80.53999999999999,0.5233333333333333,0.17,0.15144329896907216,0.2654794520547945,0.604,1.3688584698117818,0.0,South
IN,65,415,no,no,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,1,566.4000000000001,331,50.77,579.1000000000001,337,54.2,0.16021897810218977,0.23397590361445786,0.0846846846846847,0.15338368580060424,0.5716666666666667,2.19305819374892,1.1869436201780417,Midwest
RI,74,415,no,no,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,547.1,369,54.62,556.2,374,57.08,0.25125984251968503,0.09385135135135135,0.09382978723404256,0.14802168021680215,0.492,1.6361021215390146,0.0,Northeast
IA,168,408,no,no,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,374.8,295,37.17,386.0,297,40.190000000000005,0.228125,0.1256338028169014,0.049609375,0.126,1.51,2.9015544041450774,0.33670033670033667,Midwest
MT,95,510,no,no,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,596.5,278,56.32,608.8,283,59.64,0.3025,0.2806666666666667,0.07521739130434783,0.20258992805755396,0.6639999999999999,2.020367936925099,1.0600706713780919,West
IA,62,415,no,no,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,630.9,245,55.769999999999996,644.0,251,59.309999999999995,0.29314285714285715,0.3435526315789474,0.09232323232323233,0.22763265306122446,0.59,2.0341614906832297,1.593625498007968,Midwest
NY,161,415,no,no,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,1,811.3000000000001,292,90.83000000000001,816.7,301,92.29,0.8446268656716418,0.2784536082474227,0.056484375,0.31106164383561646,0.1622222222222222,0.6611975021427697,1.3289036544850499,Northeast
ID,85,408,no,yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,566.5999999999999,304,61.28999999999999,580.3999999999999,308,65.02,0.2402158273381295,0.2653333333333333,0.053599999999999995,0.20161184210526314,0.9325,2.377670572019298,0.3246753246753247,West
VT,93,510,no,no,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,538.5,346,56.8,546.6,349,58.989999999999995,0.28438596491228074,0.16711711711711713,0.04818181818181818,0.16416184971098266,0.73,1.481888035126235,0.8595988538681949,Northeast
